row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
1149;C144690;Grade 2 General Disorders and Administration Site Conditions - Other, Specify, CTCAE;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";Grade 2 General disorders and administration site conditions - Other, specify;"Moderate; minimal, local or noninvasive intervention indicated; limiting age-appropriate instrumental ADL";General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
1150;C145312;Grade 3 General Disorders and Administration Site Conditions - Other, Specify, CTCAE;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";Grade 3 General disorders and administration site conditions - Other, specify;"Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self care ADL";General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
1151;C145875;Grade 4 General Disorders and Administration Site Conditions - Other, Specify, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 General disorders and administration site conditions - Other, specify;"Life-threatening consequences; urgent intervention indicated";General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
1152;C146327;Grade 5 General Disorders and Administration Site Conditions - Other, Specify, CTCAE;Death;Grade 5 General disorders and administration site conditions - Other, specify;Death;General disorders and administration site conditions - Other, specify;10018065;LLT;20,1
1153;C143202;Generalized Edema, CTCAE;A disorder characterized by fluid accumulation in the tissues of the body including the skin.;Generalized edema;A disorder characterized by fluid accumulation in the tissues of the body including the skin.;Generalized edema;10018112;LLT;20,1
1154;C144126;Grade 1 Generalized Edema, CTCAE;"Noted on exam; 1+ pitting edema";Grade 1 Generalized edema;"Noted on exam; 1+ pitting edema";Generalized edema;10018112;LLT;20,1
1155;C144691;Grade 2 Generalized Edema, CTCAE;"Interfering with instrumental ADLs; oral therapy initiated";Grade 2 Generalized edema;"Interfering with instrumental ADLs; oral therapy initiated";Generalized edema;10018112;LLT;20,1
1156;C145313;Grade 3 Generalized Edema, CTCAE;"Interferes with self care ADL; intravenous therapy indicated; skin breakdown";Grade 3 Generalized edema;"Interferes with self care ADL; intravenous therapy indicated; skin breakdown";Generalized edema;10018112;LLT;20,1
1157;C145876;Grade 4 Generalized Edema, CTCAE;Life-threatening consequences;Grade 4 Generalized edema;Life-threatening consequences;Generalized edema;10018112;LLT;20,1
1158;C55332;Hypothermia, CTCAE;A disorder characterized by an abnormally low body temperature. Treatment is required when the body temperature is 35C (95F) or below.;Hypothermia;A disorder characterized by an abnormally low body temperature. Treatment is required when the body temperature is 35C (95F) or below.;Hypothermia;10021113;LLT;20,1
1159;C55303;Grade 2 Hypothermia, CTCAE;"35->32 degrees C; 95->89.6 degrees F";Grade 2 Hypothermia;"35->32 degrees C; 95->89.6 degrees F";Hypothermia;10021113;LLT;20,1
1160;C55313;Grade 3 Hypothermia, CTCAE;"32->28 degrees C; 89.6->82.4 degrees F";Grade 3 Hypothermia;"32->28 degrees C; 89.6->82.4 degrees F";Hypothermia;10021113;LLT;20,1
1161;C55322;Grade 4 Hypothermia, CTCAE;"<=28 degrees C; 82.4 degrees F; life-threatening consequences (e.g., coma, hypotension, pulmonary edema, acidemia, ventricular fibrillation)";Grade 4 Hypothermia;"<=28 degrees C; 82.4 degrees F; life-threatening consequences (e.g., coma, hypotension, pulmonary edema, acidemia, ventricular fibrillation)";Hypothermia;10021113;LLT;20,1
1162;C55327;Grade 5 Hypothermia, CTCAE;Death;Grade 5 Hypothermia;Death;Hypothermia;10021113;LLT;20,1
1163;C143584;Infusion Site Extravasation, CTCAE;A disorder characterized by leakage of the infusion into the surrounding tissue. Signs and symptoms may include induration, erythema, swelling, burning sensation and marked discomfort at the infusion site.;Infusion site extravasation;A disorder characterized by leakage of the infusion into the surrounding tissue. Signs and symptoms may include induration, erythema, swelling, burning sensation and marked discomfort at the infusion site.;Infusion site extravasation;10064774;LLT;20,1
1164;C144196;Grade 1 Infusion Site Extravasation, CTCAE;Painless edema;Grade 1 Infusion site extravasation;Painless edema;Infusion site extravasation;10064774;LLT;20,1
1165;C144759;Grade 2 Infusion Site Extravasation, CTCAE;Erythema with associated symptoms (e.g., edema, pain, induration, phlebitis);Grade 2 Infusion site extravasation;Erythema with associated symptoms (e.g., edema, pain, induration, phlebitis);Infusion site extravasation;10064774;LLT;20,1
1166;C145381;Grade 3 Infusion Site Extravasation, CTCAE;"Ulceration or necrosis; severe tissue damage; operative intervention indicated";Grade 3 Infusion site extravasation;"Ulceration or necrosis; severe tissue damage; operative intervention indicated";Infusion site extravasation;10064774;LLT;20,1
1167;C145930;Grade 4 Infusion Site Extravasation, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Infusion site extravasation;"Life-threatening consequences; urgent intervention indicated";Infusion site extravasation;10064774;LLT;20,1
1168;C146377;Grade 5 Infusion Site Extravasation, CTCAE;Death;Grade 5 Infusion site extravasation;Death;Infusion site extravasation;10064774;LLT;20,1
1169;C143585;Injection Site Reaction, CTCAE;A disorder characterized by an intense adverse reaction (usually immunologic) developing at the site of an injection.;Injection site reaction;A disorder characterized by an intense adverse reaction (usually immunologic) developing at the site of an injection.;Injection site reaction;10022095;LLT;20,1
1170;C144197;Grade 1 Injection Site Reaction, CTCAE;Tenderness with or without associated symptoms (e.g., warmth, erythema, itching);Grade 1 Injection site reaction;Tenderness with or without associated symptoms (e.g., warmth, erythema, itching);Injection site reaction;10022095;LLT;20,1
1171;C144760;Grade 2 Injection Site Reaction, CTCAE;"Pain; lipodystrophy; edema; phlebitis";Grade 2 Injection site reaction;"Pain; lipodystrophy; edema; phlebitis";Injection site reaction;10022095;LLT;20,1
1172;C145382;Grade 3 Injection Site Reaction, CTCAE;"Ulceration or necrosis; severe tissue damage; operative intervention indicated";Grade 3 Injection site reaction;"Ulceration or necrosis; severe tissue damage; operative intervention indicated";Injection site reaction;10022095;LLT;20,1
1173;C145931;Grade 4 Injection Site Reaction, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Injection site reaction;"Life-threatening consequences; urgent intervention indicated";Injection site reaction;10022095;LLT;20,1
1174;C146378;Grade 5 Injection Site Reaction, CTCAE;Death;Grade 5 Injection site reaction;Death;Injection site reaction;10022095;LLT;20,1
1175;C143654;Localized Edema, CTCAE;A disorder characterized by swelling due to excessive fluid accumulation at a specific anatomic site.;Localized edema;A disorder characterized by swelling due to excessive fluid accumulation at a specific anatomic site.;Localized edema;10062466;LLT;20,1
1176;C144251;Grade 1 Localized Edema, CTCAE;Localized to dependent areas, no disability or functional impairment;Grade 1 Localized edema;Localized to dependent areas, no disability or functional impairment;Localized edema;10062466;LLT;20,1
1177;C144823;Grade 2 Localized Edema, CTCAE;"Moderate localized edema and intervention indicated; limiting instrumental ADL";Grade 2 Localized edema;"Moderate localized edema and intervention indicated; limiting instrumental ADL";Localized edema;10062466;LLT;20,1
1178;C145443;Grade 3 Localized Edema, CTCAE;"Severe localized edema and intervention indicated; limiting self care ADL";Grade 3 Localized edema;"Severe localized edema and intervention indicated; limiting self care ADL";Localized edema;10062466;LLT;20,1
1179;C143665;Malaise, CTCAE;A disorder characterized by a feeling of general discomfort or uneasiness, an out-of-sorts feeling.;Malaise;A disorder characterized by a feeling of general discomfort or uneasiness, an out-of-sorts feeling.;Malaise;10025482;LLT;20,1
1180;C144256;Grade 1 Malaise, CTCAE;Uneasiness or lack of well being;Grade 1 Malaise;Uneasiness or lack of well being;Malaise;10025482;LLT;20,1
1181;C144832;Grade 2 Malaise, CTCAE;Uneasiness or lack of well being limiting instrumental ADL;Grade 2 Malaise;Uneasiness or lack of well being limiting instrumental ADL;Malaise;10025482;LLT;20,1
1182;C145452;Grade 3 Malaise, CTCAE;Uneasiness or lack of well being limiting self-care ADL;Grade 3 Malaise;Uneasiness or lack of well being limiting self-care ADL;Malaise;10025482;LLT;20,1
1183;C143680;Multi-Organ Failure, CTCAE;A disorder characterized by progressive deterioration of the lungs, liver, kidney and clotting mechanisms.;Multi-organ failure;A disorder characterized by progressive deterioration of the lungs, liver, kidney and clotting mechanisms.;Multi-organ failure;10028154;LLT;20,1
1184;C145468;Grade 3 Multi-Organ Failure, CTCAE;"Shock with azotemia and acid-base disturbances; significant coagulation abnormalities";Grade 3 Multi-organ failure;"Shock with azotemia and acid-base disturbances; significant coagulation abnormalities";Multi-organ failure;10028154;LLT;20,1
1185;C146003;Grade 4 Multi-Organ Failure, CTCAE;Life-threatening consequences (e.g., vasopressor dependent and oliguric or anuric or ischemic colitis or lactic acidosis);Grade 4 Multi-organ failure;Life-threatening consequences (e.g., vasopressor dependent and oliguric or anuric or ischemic colitis or lactic acidosis);Multi-organ failure;10028154;LLT;20,1
1186;C55280;Grade 5 Multi-Organ Failure, CTCAE;Death;Grade 5 Multi-organ failure;Death;Multi-organ failure;10028154;LLT;20,1
1187;C143700;Neck Edema, CTCAE;A disorder characterized by swelling due to an accumulation of excessive fluid in the neck.;Neck edema;A disorder characterized by swelling due to an accumulation of excessive fluid in the neck.;Neck edema;10054482;LLT;20,1
1188;C144285;Grade 1 Neck Edema, CTCAE;Asymptomatic localized neck edema;Grade 1 Neck edema;Asymptomatic localized neck edema;Neck edema;10054482;LLT;20,1
1189;C144861;Grade 2 Neck Edema, CTCAE;"Moderate neck edema; slight obliteration of anatomic landmarks; limiting instrumental ADL";Grade 2 Neck edema;"Moderate neck edema; slight obliteration of anatomic landmarks; limiting instrumental ADL";Neck edema;10054482;LLT;20,1
1190;C145482;Grade 3 Neck Edema, CTCAE;"Generalized neck edema (e.g., difficulty in turning neck); limiting self care ADL";Grade 3 Neck edema;"Generalized neck edema (e.g., difficulty in turning neck); limiting self care ADL";Neck edema;10054482;LLT;20,1
1191;C146008;Grade 4 Neck Edema, CTCAE;Vascular or respiratory impairment requiring urgent intervention;Grade 4 Neck edema;Vascular or respiratory impairment requiring urgent intervention;Neck edema;10054482;LLT;20,1
1192;C143707;Non-Cardiac Chest Pain, CTCAE;A disorder characterized by a sensation of marked discomfort in the chest unrelated to a heart disorder.;Non-cardiac chest pain;A disorder characterized by a sensation of marked discomfort in the chest unrelated to a heart disorder.;Non-cardiac chest pain;10062501;LLT;20,1
1193;C144292;Grade 1 Non-Cardiac Chest Pain, CTCAE;Mild pain;Grade 1 Non-cardiac chest pain;Mild pain;Non-cardiac chest pain;10062501;LLT;20,1
1194;C144868;Grade 2 Non-Cardiac Chest Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Non-cardiac chest pain;"Moderate pain; limiting instrumental ADL";Non-cardiac chest pain;10062501;LLT;20,1
1195;C145489;Grade 3 Non-Cardiac Chest Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Non-cardiac chest pain;"Severe pain; limiting self care ADL";Non-cardiac chest pain;10062501;LLT;20,1
1196;C143725;Pain, CTCAE;A disorder characterized by the sensation of marked discomfort, distress or agony.;Pain;A disorder characterized by the sensation of marked discomfort, distress or agony.;Pain;10033371;LLT;20,1
1197;C144309;Grade 1 Pain, CTCAE;Mild pain;Grade 1 Pain;Mild pain;Pain;10033371;LLT;20,1
1198;C144888;Grade 2 Pain, CTCAE;"Moderate pain; limiting instrumental ADL";Grade 2 Pain;"Moderate pain; limiting instrumental ADL";Pain;10033371;LLT;20,1
1199;C145508;Grade 3 Pain, CTCAE;"Severe pain; limiting self care ADL";Grade 3 Pain;"Severe pain; limiting self care ADL";Pain;10033371;LLT;20,1
1200;C143863;Sudden Death NOS, CTCAE;An unexpected death that cannot be attributed to a CTCAE term associated with Grade 5.;Sudden death NOS;An unexpected death that cannot be attributed to a CTCAE term associated with Grade 5.;Sudden death NOS;10042435;LLT;20,1
1201;C146570;Grade 5 Sudden Death NOS, CTCAE;Death;Grade 5 Sudden death NOS;Death;Sudden death NOS;10042435;LLT;20,1
1202;C143203;Vaccination Site Lymphadenopathy, CTCAE;A disorder characterized by lymph node enlargement after vaccination;Vaccination site lymphadenopathy;A disorder characterized by lymph node enlargement after vaccination;Vaccination site lymphadenopathy;10069480;LLT;20,1
1203;C144466;Grade 1 Vaccination Site Lymphadenopathy, CTCAE;Local lymph node enlargement;Grade 1 Vaccination site lymphadenopathy;Local lymph node enlargement;Vaccination site lymphadenopathy;10069480;LLT;20,1
1204;C145077;Grade 2 Vaccination Site Lymphadenopathy, CTCAE;"Localized ulceration; generalized lymph node enlargement";Grade 2 Vaccination site lymphadenopathy;"Localized ulceration; generalized lymph node enlargement";Vaccination site lymphadenopathy;10069480;LLT;20,1
1205;C143170;Hepatobiliary Disorders, CTCAE;;;;;;;
1206;C143314;Bile Duct Stenosis, CTCAE;A disorder characterized by a narrowing of the lumen of the bile duct.;Bile duct stenosis;A disorder characterized by a narrowing of the lumen of the bile duct.;Bile duct stenosis;10051341;LLT;20,1
1207;C143995;Grade 1 Bile Duct Stenosis, CTCAE;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Grade 1 Bile duct stenosis;"Asymptomatic; clinical or diagnostic observations only; intervention not indicated";Bile duct stenosis;10051341;LLT;20,1
1208;C144536;Grade 2 Bile Duct Stenosis, CTCAE;"Symptomatic; altered GI function; IV fluids indicated <24 hrs";Grade 2 Bile duct stenosis;"Symptomatic; altered GI function; IV fluids indicated <24 hrs";Bile duct stenosis;10051341;LLT;20,1
1209;C145155;Grade 3 Bile Duct Stenosis, CTCAE;"Severely altered GI function; invasive intervention indicated";Grade 3 Bile duct stenosis;"Severely altered GI function; invasive intervention indicated";Bile duct stenosis;10051341;LLT;20,1
